replay_id,game_win,is_ot,tm_color,game_time,car_id,steer_sens,tm8_name,opp_name_1,opp_name_2,opp_url_1,opp_url_2,tm8_url,boost_per_min,boost_avg_amt,big_stoln_per_min,big_clctd_per_min,sml_clctd_per_min,pct_zero_boost,pct_full_boost,pct_0_25_boost,pct_25_50_boost,pct_75_100_boost,avg_speed,pct_supersonic,pct_slow,avg_powerslide_duration,powerslide_per_min,pct_ground,pct_high_air,avg_dist_to_ball,avg_dist_to_mates,pct_def_third,pct_off_third,pct_behind_ball,pct_most_back,percent_closest_to_ball,demos_given_per_min,demos_taken_per_min
9119854b-babd-4fe5-8fda-475ba761df99,False,True,orange,403.10757,23,1.4,GettingZooted,Bronz3r,wilfreddddd,https://rocketleague.tracker.network/rocket-league/profile/xbl/Bronz3r,https://rocketleague.tracker.network/rocket-league/profile/epic/wilfreddddd,https://rocketleague.tracker.network/rocket-league/profile/psn/GettingZooted,444,49.2,1.1907491590892227,3.869934767039974,10.121367852258393,12.995076,13.035217,32.058777,24.757334,24.3873,1562,16.83265,46.61946,0.21,3.721091122153821,59.298367,5.552497,2232,3051,51.928032,22.358181,74.44386,44.369514,55.07386,0.44653093465845856,0.14884364488615284
eb70ca4a-84e7-42c2-88b4-ef1ee33285f2,False,False,blue,195.33641,23,1.4,xDannyFantom,ZxShadowBlastxZ,Kroogolet,https://rocketleague.tracker.network/rocket-league/profile/epic/ZxShadowBlastxZ,https://rocketleague.tracker.network/rocket-league/profile/epic/Kroogolet,https://rocketleague.tracker.network/rocket-league/profile/psn/xDannyFantom,437,53.28,0.6143247948500743,3.0716239742503717,10.136359115026226,12.161565,13.576086,26.894337,21.500736,33.308777,1599,17.081924,45.657745,0.18,5.221760756225632,61.324722,7.6079154,2742,3343,33.434155,28.328293,78.725586,55.033707,43.209194,0.30716239742503715,0.0
97325972-7aa2-4f26-b963-7bc9df4df64b,False,False,blue,385.86633,23,1.4,DaOnlyJT,DawgMode18,yehher,https://rocketleague.tracker.network/rocket-league/profile/psn/DawgMode18,https://rocketleague.tracker.network/rocket-league/profile/epic/yehher,https://rocketleague.tracker.network/rocket-league/profile/psn/DaOnlyJT,448,50.45,0.46648278433622337,3.731862274689787,8.707678640942836,10.623383,15.583188,29.73341,25.23684,28.75137,1498,12.981892,48.03352,0.15,5.286804889143864,60.30457,4.5114927,2458,3396,47.888233,15.319358,70.274475,44.563133,54.438232,0.3109885228908156,0.0
377833e1-e72a-43c4-b0d4-b4f1996916f8,False,False,orange,302.80588,23,1.4,EpicYoloMan21,KindTheKnight,DaOnlyJT,https://rocketleague.tracker.network/rocket-league/profile/psn/KindTheKnight,https://rocketleague.tracker.network/rocket-league/profile/psn/DaOnlyJT,https://rocketleague.tracker.network/rocket-league/profile/xbl/EpicYoloMan21,414,51.33,0.19814674668801016,3.368494693696173,14.266565761536732,16.921606,9.86828,33.794834,23.204042,30.340357,1624,17.370024,41.41421,0.29,6.340695894016325,68.16708,2.8972085,2926,3670,43.20865,21.060291,69.99372,55.307693,41.21521,0.3962934933760203,0.0
8e0e0d42-4fdd-484a-bd3c-9df7ef7656fe,False,False,blue,374.26605,23,1.4,KindTheKnight,xSwiiTcH-BLaDe,TheDong__3----D,https://rocketleague.tracker.network/rocket-league/profile/psn/xSwiiTcH-BLaDe,https://rocketleague.tracker.network/rocket-league/profile/psn/TheDong__3----D,https://rocketleague.tracker.network/rocket-league/profile/psn/KindTheKnight,422,43.53,0.6412550644120673,3.0459615559573194,10.09976726449006,16.02827,10.929662,43.556557,19.76646,18.640968,1533,16.791506,46.685574,0.17,7.374433240738774,61.124638,2.4290416,2493,3438,52.359425,19.501364,75.87876,52.69608,46.967625,0.48094129830905047,0.0
2f30fd1b-33b2-47b6-89a3-8d2986c94035,False,False,orange,339.73022,23,1.4,ThatBoiChaka,ElitePhoenix14,Twin v,https://rocketleague.tracker.network/rocket-league/profile/xbl/ElitePhoenix14,https://rocketleague.tracker.network/rocket-league/profile/epic/Twin v,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198971156353,468,53.3,1.0596643419004645,4.415268091251935,9.007146906153949,12.111611,18.785793,30.434914,18.867523,33.95002,1643,17.955141,36.080288,0.15,4.591878814902013,59.43689,4.4261513,2486,3720,39.553196,29.793898,74.08435,46.78933,56.719875,0.0,0.3532214473001548
87b2398f-f87a-4930-a454-a5e6bbd9d67b,False,False,blue,356.44543,23,1.4,Hoo Woo,SilverRayShadow,RLNova,https://rocketleague.tracker.network/rocket-league/profile/psn/SilverRayShadow,https://rocketleague.tracker.network/rocket-league/profile/epic/RLNova,https://rocketleague.tracker.network/rocket-league/profile/epic/Hoo Woo,445,53.77,1.5149584047128897,4.208217790869138,9.594736563181634,10.56419,22.02495,29.176546,16.566223,35.066124,1560,15.290417,43.42209,0.16,6.228162330486324,62.304794,3.5866756,2256,3631,41.780186,28.149313,67.773285,45.18241,58.866898,0.336657423269531,0.0
e94c70d7-1720-44a0-9a96-39c10ef151f2,False,False,blue,195.9248,23,1.4,Grim_Reap0,blakeroo,blue_bomber_614,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198978566451,https://rocketleague.tracker.network/rocket-league/profile/epic/blue_bomber_614,https://rocketleague.tracker.network/rocket-league/profile/epic/Grim_Reap0,408,60.46,0.9187198353654055,5.206079067070631,7.9622385731668475,6.125372,13.793104,17.541983,24.557648,43.350616,1547,21.91041,47.56963,0.15,5.8185589573142344,65.921844,1.2813724,2913,3355,58.42423,14.471037,69.183525,48.749588,42.30473,0.0,0.3062399451218018
c4e4510d-92eb-404a-ae04-6df011d07c09,False,True,orange,384.35458,23,1.4,orangeknight69,OutKast1706,EndezzGX,https://rocketleague.tracker.network/rocket-league/profile/xbl/OutKast1706,https://rocketleague.tracker.network/rocket-league/profile/xbl/EndezzGX,https://rocketleague.tracker.network/rocket-league/profile/epic/orangeknight69,429,45.96,0.4683175623925178,3.2782229367476248,8.741927831326999,12.240997,10.800554,41.21625,20.196344,19.784565,1549,17.504759,44.13076,0.15,4.370963915663499,57.10487,4.455045,2574,3717,43.651104,31.310446,69.76617,39.22438,51.96676,0.15610585413083927,0.0
5478418b-8042-427c-b1dd-074bfb30d22b,False,False,orange,286.057,23,1.4,HonestoMentiroso,DaDyS_GuUrL,Culiolo69,https://rocketleague.tracker.network/rocket-league/profile/epic/DaDyS_GuUrL,https://rocketleague.tracker.network/rocket-league/profile/epic/Culiolo69,https://rocketleague.tracker.network/rocket-league/profile/psn/HonestoMentiroso,406,59.35,0.8389936271442404,4.194968135721202,11.326413966447246,8.474699,18.915901,23.090878,23.677753,32.98595,1579,15.604549,41.86527,0.15,5.243710169651503,62.95713,2.4601924,2570,3165,48.787403,17.84077,67.83665,48.586346,50.09905,0.2097484067860601,0.0
